Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021,IMD decile,Constituency Code 2024,Constituency Name 2024,Property Type
E18 1AZ,Yes,51.593051,0.025512,540404,190188,TQ404901,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",,,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,38,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018497,E14000634,25877,1,1,2024-05-24,"South Woodford",0.236403,E,E18,"Metropolitan Police","Thames Water",9F32H2VG+66,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023193002,10093039196",30.7666,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018497,8,E14001334,"Leyton and Wanstead",Other
E18 1BA,Yes,51.593134,0.025400,540396,190197,TQ403901,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",,,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,38,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018497,E14000634,25877,1,1,2024-05-24,"South Woodford",0.24839,E,E18,"Metropolitan Police","Thames Water",9F32H2VG+75,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","100022986624,100023583195",30.7779,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018497,8,E14001334,"Leyton and Wanstead",
E18 1BD,Yes,51.594432,0.024820,540352,190340,TQ403903,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",,,"Greater London","Redbridge","Redbridge 007G","Urban major conurbation",London,39,4,E01003674,,E02000757,"South Woodford High Road",E43000216,E00018496,E14000634,25801,1,0,2024-05-24,"South Woodford",0.385811,E,E18,"Metropolitan Police","Thames Water",9F32H2VF+QW,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10013585754,10013585826,10013585828,10013585829,10023191735,10023191959,10023191960,10023191961,10023770166,10023770720,10034923317,10034923319,10034923320,10034923322,10034923323,10034923324,10034923325,10034923327,10034923328,10034923329,10034923332,10034923334,10034923337,10034923339,10034923340,10034923341,10034923342,10034923343,10034923344,10034923345,10034923346,10034923347,10034923349,10034923352,10034923354,10034923358,10034923362,10034927542,10034931813,10091778041,10091778042,10091778043,10093036283,10093036284,10093036285,10093036286,10093036287,10093036288,10093036289,10093036290,10093036291,10093036292,10093036293,10093036294,10093036530,10093036922,10093038688,10093038859,10093039760,10094821487,10094821488,10094821489,10094821490,10094821491,10094821492,10094821493,10094821494,10094821495,10094821496,10096142927,10096142928,10096142929,10096142930,10096142931,10096142932,10096142933,10096142934,10096142935,10096142936,10096142937,10096143234,100022252452,100022986577,100022987165,100022987226,",30.8844,E01003674,"Redbridge 007G",E02000757,"South Woodford High Road",E00018496,8,E14001334,"Leyton and Wanstead",Semi-detached
E18 1BF,Yes,51.594142,0.028576,540613,190315,TQ406903,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Ilford North",2009-05-01,,"Redbridge, unparished area","",25,16,"Greater London","Redbridge","Redbridge 009G","Urban major conurbation",London,29,4,E01003765,,E02000759,"Roding",E43000216,E00018911,E14000759,26421,1,0,2024-05-24,"South Woodford",0.291025,E,E18,"Metropolitan Police","Thames Water",9F32H2VH+MC,62700,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023193259,10023193260,10023193261,10023193262,10023193263,10023193264,10023193265,10023193266,10023193267,10023193268,10023193269,10023193270,10023193271,10023193272,10023193273,10023193274",30.6438,E01003765,"Redbridge 009G",E02000759,"Roding",E00018911,9,E14001334,"Leyton and Wanstead",Flat
E18 1BG,Yes,51.594200,0.025130,540374,190315,TQ403903,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",,,"Greater London","Redbridge","Redbridge 007G","Urban major conurbation",London,39,4,E01003674,,E02000757,"South Woodford High Road",E43000216,E00018496,E14000634,25801,1,1,2024-05-24,"South Woodford",0.352489,E,E18,"Metropolitan Police","Thames Water",9F32H2VG+M3,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10034923316",30.853,E01003674,"Redbridge 007G",E02000757,"South Woodford High Road",E00018496,8,E14001334,"Leyton and Wanstead",
E18 1BH,Yes,51.588369,0.026892,540514,189670,TQ405896,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Ilford North",2009-05-01,,"Redbridge, unparished area","",26,11,"Greater London","Redbridge","Redbridge 009A","Urban major conurbation",London,28,4,E01003759,,E02000759,"Roding",E43000216,E00018926,E14000759,30489,1,0,2024-05-24,"South Woodford",0.361134,E,E18,"Metropolitan Police","Thames Water",9F32H2QG+8Q,62700,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023770233,10023771689,10023771690,10023771691,10023771692,10023771693,10023771694,10023771695,10023771696,10023771697,10023771698,10023771699,10034932563,10034932961",30.4286,E01003759,"Redbridge 009A",E02000759,"Roding",E00018926,10,E14001334,"Leyton and Wanstead",Terraced
E18 1BL,Yes,51.594545,0.025478,540397,190354,TQ403903,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",80,31,"Greater London","Redbridge","Redbridge 007G","Urban major conurbation",London,38,4,E01003674,,E02000757,"South Woodford High Road",E43000216,E00018496,E14000634,25801,1,0,2024-05-24,"South Woodford",0.373523,E,E18,"Metropolitan Police","Thames Water",9F32H2VG+R5,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023772359,10023772719,100022260540,100022260541,100022260542,100022260543,100022260544,100022260545,100022260546,100022260547,100022260548,100022260549,100022260550,100022260551,100022260552,100022260553,100022260554,100022260555,100022260556,100022260557,100022260558,100022260559,100022260560,100022260561,100022260562,100022260563,100022260564,100022260565,100022986665,100022986666,100022986667,100022987236,100022987237,100022987238,100022987239,100022987240",30.8513,E01003674,"Redbridge 007G",E02000757,"South Woodford High Road",E00018496,8,E14001334,"Leyton and Wanstead",Semi-detached
E18 1BN,Yes,51.594958,0.026129,540441,190401,TQ404904,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",81,30,"Greater London","Redbridge","Redbridge 007G","Urban major conurbation",London,36,4,E01003674,,E02000757,"South Woodford High Road",E43000216,E00018496,E14000634,25801,1,0,2024-05-24,"South Woodford",0.398585,E,E18,"Metropolitan Police","Thames Water",9F32H2VG+XF,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10015317079,10034923309,10090505010,10090506072,10090506073,10090506074,10090506075,10090506076,100022251537,100022251538,100022251539,100022251540,100022251542,100022251545,100022251547,100022251548,100022251550,100022251553,100022251555,100022251557,100022251560,100022251561,100022251563,100022251564,100022251566,100022251568,100022251569,100022251571,100022251572,100022251573,100022251575,100022251576,100022251578,100022251580,100022251583,100022251586,100022251588,100022251590,100022251592,100022986668,100022986669,100022987220",30.8354,E01003674,"Redbridge 007G",E02000757,"South Woodford High Road",E00018496,8,E14001334,"Leyton and Wanstead",Flat
E18 1BP,Yes,51.595582,0.026431,540460,190471,TQ404904,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",69,23,"Greater London","Redbridge","Redbridge 007G","Urban major conurbation",London,34,4,E01003674,,E02000757,"South Woodford High Road",E43000216,E00018492,E14000634,25801,1,0,2024-05-24,"South Woodford",0.459746,E,E18,"Metropolitan Police","Thames Water",9F32H2WG+6H,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10034929930,10034929931,10094822816,100022251851,100022251854,100022251856,100022251858,100022251860,100022251862,100022251864,100022251866,100022251868,100022251870,100022251872,100022251874,100022251876,100022251878,100022251880,100022251882,100022251884,100022251886,100022251888,100022251890,100022251892,100022251894,100022251896,100022251898",30.8522,E01003674,"Redbridge 007G",E02000757,"South Woodford High Road",E00018492,8,E14001334,"Leyton and Wanstead",Terraced
E18 1BQ,Yes,51.595168,0.027397,540528,190427,TQ405904,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",38,32,"Greater London","Redbridge","Redbridge 007G","Urban major conurbation",London,32,4,E01003674,,E02000757,"South Woodford High Road",E43000216,E00018492,E14000634,25801,1,0,2024-05-24,"South Woodford",0.403501,E,E18,"Metropolitan Police","Thames Water",9F32H2WG+3X,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10013584733,100022251614,100022251615,100022251616,100022251617,100022251618,100022251619,100022251620,100022251621,100022251622,100022251623,100022251624,100022251625,100022251626,100022251627,100022251628,100022251629,100022251630,100022251631,100022251632,100022251633,100022251634,100022251635,100022251636,100022251637,100022251638,100022251639,100022251640,100022251641,100022251642,100022251643,100022251644,100022251645,100023684574",30.7714,E01003674,"Redbridge 007G",E02000757,"South Woodford High Road",E00018492,8,E14001334,"Leyton and Wanstead",
E18 1BT,Yes,51.595842,0.025896,540422,190499,TQ404904,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1983-03-01,,"Redbridge, unparished area","",97,34,"Greater London","Redbridge","Redbridge 007G","Urban major conurbation",London,35,4,E01003674,,E02000757,"South Woodford High Road",E43000216,E00018492,E14000634,25801,1,0,2024-05-24,"South Woodford",0.497138,E,E18,"Metropolitan Police","Thames Water",9F32H2WG+89,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10013586077,10023189748,10023193398,10023773216,10023773440,10023774106,10023774107,10094820532,100022251852,100022251853,100022251855,100022251857,100022251859,100022251861,100022251863,100022251865,100022251867,100022251869,100022251871,100022251873,100022251875,100022251877,100022251879,100022251881,100022251883,100022251885,100022251887,100022251889,100022251891,100022251893,100022251895,100022251897,100022251899,100022251900,100022251901,100022251902,100022251903,100022251904,100022251905,100022251906",30.8987,E01003674,"Redbridge 007G",E02000757,"South Woodford High Road",E00018492,8,E14001334,"Leyton and Wanstead",Semi-detached
E18 1BU,Yes,51.594334,0.027244,540520,190334,TQ405903,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",65,22,"Greater London","Redbridge","Redbridge 007G","Urban major conurbation",London,33,4,E01003674,,E02000757,"South Woodford High Road",E43000216,E00018492,E14000634,25801,1,0,2024-05-24,"South Woodford",0.312807,E,E18,"Metropolitan Police","Thames Water",9F32H2VG+PV,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023190387,10025162566,10034929861,10090503066,100022251589,100022251591,100022251593,100022251594,100022251595,100022251596,100022251597,100022251598,100022251599,100022251600,100022251601,100022251602,100022251603,100022251604,100022251605,100022251606,100022251608,100022251609,100022251610,100022251611,100022251612,100022986674",30.734,E01003674,"Redbridge 007G",E02000757,"South Woodford High Road",E00018492,8,E14001334,"Leyton and Wanstead",Semi-detached
E18 1BW,Yes,51.595230,0.025883,540423,190431,TQ404904,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",53,19,"Greater London","Redbridge","Redbridge 007G","Urban major conurbation",London,36,4,E01003674,,E02000757,"South Woodford High Road",E43000216,E00018492,E14000634,25801,1,0,2024-05-24,"South Woodford",0.432665,E,E18,"Metropolitan Police","Thames Water",9F32H2WG+39,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023190698,10023772084,10034927535,10034927536,100022251541,100022251543,100022251546,100022251549,100022251551,100022251552,100022251554,100022251556,100022251559,100022251562,100022251565,100022251567,100022251570,100022251574,100022251577,100022251579,100022251584,100022251585,100022251587,100022986675,100022986676",30.8652,E01003674,"Redbridge 007G",E02000757,"South Woodford High Road",E00018492,8,E14001334,"Leyton and Wanstead",Semi-detached
E18 1BX,Yes,51.593260,0.026431,540467,190213,TQ404902,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",,,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,33,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018497,E14000634,25877,1,0,2024-05-24,"South Woodford",0.21654,E,E18,"Metropolitan Police","Thames Water",9F32H2VG+8H,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023771199,10023771996,10034921507,10034921508,10034921511,10034921512,10034921513,10034921514,10093037324,10093037325,10093037326,10093037327,10093037328,10093037329,10093037330,10093037331,10093037332,10093037333,10093037334,10093037335,10093037336,10093037337,10093037338,10094819387,10096143118,100022986568,100022986627,100022987193,100023684573",30.7231,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018497,8,E14001334,"Leyton and Wanstead",Other
E18 1BY,Yes,51.593335,0.027428,540536,190223,TQ405902,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",1980-01-01,,"Redbridge, unparished area","",,,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,31,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018497,E14000634,25877,1,0,2024-05-24,"South Woodford",0.20122,E,E18,"Metropolitan Police","Thames Water",9F32H2VG+8X,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023191947,10034921510,10034923181,10090504237,10090504238,10090504240,10090504243,10090504245,10090504246,10090504999,10090505000,10090505001,10090505799,10093036390,10093036391,10093036392,10093036393,10093037100,10093038329,10093038330,10094821468,100022986587,100022986607,100022986628",30.6676,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018497,8,E14001334,"Leyton and Wanstead",
E18 1BZ,Yes,51.591973,0.026602,540483,190070,TQ404900,"Greater London","Redbridge","South Woodford",E09000026,E05011252,England,E11000009,"Chingford and Woodford Green",2001-06-01,,"Redbridge, unparished area","",,,"Greater London","Redbridge","Redbridge 007A","Urban major conurbation",London,33,4,E01003668,,E02000757,"South Woodford High Road",E43000216,E00018481,E14000634,25877,1,1,2024-05-24,"South Woodford",0.103696,E,E18,"Metropolitan Police","Thames Water",9F32H2RG+QJ,69100,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10092759266",30.642,E01003668,"Redbridge 007A",E02000757,"South Woodford High Road",E00018481,8,E14001334,"Leyton and Wanstead",
E18 1DB,Yes,51.598003,0.034569,541016,190756,TQ410907,"Greater London","Redbridge","Churchfields",E09000026,E05011238,England,E11000009,"Ilford North",2002-11-01,,"Redbridge, unparished area","",12,5,"Greater London","Redbridge","Redbridge 009B","Urban major conurbation",London,18,4,E01003760,,E02000759,"Roding",E43000216,E00018906,E14000759,18912,1,0,2024-05-24,"South Woodford",0.850264,E,E18,"Metropolitan Police","Thames Water",9F32H2XM+6R,62700,"","London","Outer London - East and North East","Redbridge and Waltham Forest","10023774129,10034917811,10034918517,10034918518,10034918519,10034918520",30.5067,E01003760,"Redbridge 009B",E02000759,"Roding",E00018906,6,E14001167,"Chingford and Woodford Green",Terraced
